Joshua Project People Group Data

ROG3,Ctry,PoplPeoples,CntPeoples,CntPeoplesLR,PoplPeoplesLR,JPScaleCtry,ROL3OfficialLanguage,OfficialLang,RLG3Primary,ReligionPrimary,PercentChristianity,PercentEvangelical,10_40Window,ROG2,Continent,RegionCode,RegionName,PercentUrbanized,LiteracyRate,ISO3,Population,WorkersNeeded
TO,Togo,8032094,56,8,592574,5,fra,French,1,Christianity,45.1219102870577,10.940991960788,N,AFR,Africa,8,"Africa, West and Central",42,64,TGO,8082000,14
TL,Tokelau,975,1,,,4,tkl,Tokelauan,1,Christianity,100,3.4,N,SOP,Oceania,1,"Australia and Pacific",0,94,TKL,1000,
TN,Tonga,100507,5,,,5,ton,Tongan,1,Christianity,95.86579500000001,15.6898269230769,N,SOP,Oceania,1,"Australia and Pacific",23,99,TON,104000,
TD,"Trinidad and Tobago",1383757,15,1,662,5,eng,English,1,Christianity,66.1226657060932,23.4344049371351,N,NAR,"North America",12,"America, North and Caribbean",53,99,TTO,1395000,1
TS,Tunisia,11666921,14,12,11578526,1,arb,"Arabic, Standard",6,Islam,0.422243799914493,0.0294643052561965,Y,AFR,Africa,6,"Africa, North and Middle East",69,79,TUN,11695000,239
TU,Turkey,83372993,68,45,82585711,1,tur,Turkish,6,Islam,0.660709148867314,0.0400140813350458,Y,ASI,Asia,5,"Asia, Central",75,96,TUR,83430000,1665
TX,Turkmenistan,5887090,38,21,5513913,1,tuk,Turkmen,6,Islam,4.44119595759004,0.0978197576573544,Y,ASI,Asia,5,"Asia, Central",52,100,TKM,5942000,122
TK,"Turks and Caicos Islands",36866,4,,,5,eng,English,1,Christianity,90.6717447368421,31.9620947368421,N,NAR,"North America",12,"America, North and Caribbean",93,99,TCA,38000,
TV,Tuvalu,11650,2,,,5,tvl,Tuvaluan,1,Christianity,98,22.7922692865981,N,SOP,Oceania,1,"Australia and Pacific",62,95,TUV,12000,
UG,Uganda,44120892,67,5,1106437,5,eng,English,1,Christianity,83.545611228552,33.830388736571,N,AFR,Africa,7,"Africa, East and Southern",24,73,UGA,44270000,24
UP,Ukraine,43921047,78,26,454858,4,ukr,Ukrainian,1,Christianity,72.98119173660049,3.62068664616768,N,EUR,Europe,9,"Europe, Eastern and Eurasia",69,99,UKR,43994000,31
AE,"United Arab Emirates",9739199,32,27,7801856,2,arb,"Arabic, Standard",6,Islam,9.172274946269569,1.57180162655827,Y,ASI,Asia,6,"Africa, North and Middle East",87,90,ARE,9771000,165
UK,"United Kingdom",67401089,105,32,5092211,4,eng,English,1,Christianity,57.0129240279876,7.89565223498601,N,EUR,Europe,10,"Europe, Western",83,99,GBR,67530000,116
US,"United States",326302437,488,82,4826998,5,eng,English,1,Christianity,77.52236918355651,26.8201526687949,N,NAR,"North America",12,"America, North and Caribbean",82,99,USA,329065000,145
UY,Uruguay,3436025,35,1,17002,4,spa,Spanish,1,Christianity,66.7529193991912,7.2738562588797,N,LAM,"South America",11,"America, Latin",95,99,URY,3462000,1
UZ,Uzbekistan,32901256,61,34,31688150,1,uzn,"Uzbek, Northern",6,Islam,2.37653351525074,0.178310221201832,Y,ASI,Asia,5,"Asia, Central",50,99,UZB,32982000,652
NH,Vanuatu,297402,111,,,5,bis,Bislama,1,Christianity,91.08032173333331,41.2857633333333,N,SOP,Oceania,1,"Australia and Pacific",25,83,VUT,300000,
VT,"Vatican City",998,1,,,4,lat,Latin,1,Christianity,100,2.5,N,EUR,Europe,10,"Europe, Western",100,100,VAT,1000,
VE,Venezuela,27818758,66,3,34672,5,spa,Spanish,1,Christianity,82.6022145237761,12.1577866782969,N,LAM,"South America",11,"America, Latin",88,95,VEN,28516000,3
VM,Vietnam,96380358,118,67,8611595,4,vie,Vietnamese,2,Buddhism,10.1436394088864,2.39470182788749,Y,ASI,Asia,2,"Asia, Southeast",36,94,VNM,96462000,213
VQ,"Virgin Islands (U.S.)",103476,7,,,5,eng,English,1,Christianity,94.2198052380952,24.3736342857143,N,NAR,"North America",12,"America, North and Caribbean",96,92,VIR,105000,
WF,"Wallis and Futuna Islands",10650,3,,,3,fra,French,1,Christianity,98.48063636363641,1.74868334010345,N,SOP,Oceania,1,"Australia and Pacific",0,50,WLF,11000,
WE,"West Bank / Gaza",4932096,20,8,4890326,1,ajp,"Arabic, South Levantine Spoken",6,Islam,1.24701351937362,0.0742070800041288,Y,ASI,Asia,6,"Africa, North and Middle East",76,97,PSE,4981000,102
WI,"Western Sahara",576800,10,10,576800,1,ary,"Arabic, Moroccan Spoken",6,Islam,0.0277736426116839,0.000769207295080031,Y,AFR,Africa,6,"Africa, North and Middle East",87,,ESH,582000,15
YM,Yemen,28999148,29,20,28887396,1,arb,"Arabic, Standard",6,Islam,0.215056826136753,0.0277956558882493,Y,ASI,Asia,6,"Africa, North and Middle East",37,70,YEM,29162000,578
ZA,Zambia,17783738,73,4,94489,5,eng,English,1,Christianity,86.98174573652091,25.1531540059347,N,AFR,Africa,7,"Africa, East and Southern",44,63,ZMB,17861000,4
ZI,Zimbabwe,14056989,41,2,24024,5,eng,English,1,Christianity,76.8294517418914,25.2217324889041,N,AFR,Africa,7,"Africa, East and Southern",32,87,ZWE,14645000,2

Bible Translation status:
0,Unspecified
1,Translation Needed
2,Translation Started
3,Portions
4,New Testament
5,Complete Bible

"Joshua Project welcomes corrections / updates to this data.  Please send feedback to:"

Email:,info@joshuaproject.net
Web:,www.joshuaproject.net
Office:,719.886.4000
Postal:,Joshua Project 
,PO Box 62614
,"Colorado Springs, CO 80962"
,United States
