Joshua Project People Group Data

ROL3,Language,Status,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion
agq,Aghem,L,1,4,N,3,,,2003,Y,Y,,1,Christianity
ahh,Aghu,L,1,5,N,1,,,,N,N,,1,Christianity
agx,Aghul,L,1,1,Y,3,,,2005-2007,N,N,,6,Islam
aif,Agi,L,1,5,N,2,,,,N,Y,,1,Christianity
kit,Agob,L,1,5,N,3,,,2010,N,Y,,1,Christianity
ibm,Agoi,L,1,5,N,2,,,,N,Y,,1,Christianity
dul,"Agta, Alabat Island",N,,,N,0,,,,N,N,,,
dgc,"Agta, Casiguran Dumagat",L,2,4,N,4,,1979,1967,N,Y,1170,4,"Ethnic Religions"
agt,"Agta, Central Cagayan",L,1,4,N,4,,1992,1962-1980,N,Y,1244,4,"Ethnic Religions"
duo,"Agta, Dupaninan",L,1,4,N,4,,2001,1986-2009,N,N,1312,4,"Ethnic Religions"
agk,"Agta, Isarog",N,,,N,0,,,,N,N,,,
atl,"Agta, Mt. Iraya",L,1,4,N,1,,,,N,N,,1,Christianity
agz,"Agta, Mt. Iriga",L,1,4,N,1,,,,N,N,,1,Christianity
apf,"Agta, Pahanan",L,1,4,N,4,,2016,1988-2006,N,N,,4,"Ethnic Religions"
due,"Agta, Umiray Dumaget",L,1,4,N,4,,1977,1968,N,Y,1339,4,"Ethnic Religions"
aga,Aguano,N,,,N,0,,,,N,N,,,
aug,Aguna,L,2,4,N,1,,,,N,Y,,4,"Ethnic Religions"
agn,Agutaynen,L,1,4,N,4,,2004,1989-1993,N,Y,1124,1,Christianity
yay,Agwagwune,L,1,5,N,3,,,1894,Y,Y,,1,Christianity
ahn,Ahan,L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
aha,Ahanta,L,1,5,N,4,,2009,2002,Y,Y,,1,Christianity
thm,Aheu,L,2,1,Y,1,,,,N,Y,,2,Buddhism
ahr,Ahirani,L,135,1,Y,4,,2017,Yes,Y,Y,,5,Hinduism
aho,Ahom,N,,,N,0,,,,N,N,,,
aht,Ahtena,N,1,4,N,0,,,,N,N,,1,Christianity
nfd,Ahwai,L,3,4,N,1,,,,N,Y,,1,Christianity
aih,Ai-Cham,L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
aix,Aighon,L,1,5,N,2,,,,N,Y,,1,Christianity
tba,Aikana,L,1,5,N,3,,,Yes,Y,Y,,4,"Ethnic Religions"
mwg,Aiklep,L,1,5,N,2,,,,N,Y,,1,Christianity
aiq,Aimaq,L,4,1,Y,1,,,,N,N,,6,Islam
ail,Aimele,L,1,2,N,3,,,1994-2005,N,N,,4,"Ethnic Religions"
aim,Aimol,L,3,3,N,4,,2013,Yes,N,Y,aim,1,Christianity
aic,Ainbai,N,1,5,N,0,,,,N,N,,1,Christianity
aib,Ainu,L,1,1,Y,1,,,,N,N,,6,Islam
ain,Ainu,N,,,N,4,,1897,1889-1896,N,N,ain,,
aki,Aiome,L,1,5,N,1,,,,N,Y,,1,Christianity
air,Airoran,L,1,5,N,1,,,,N,N,,1,Christianity
mmq,Aisi,L,1,5,N,1,,,,N,N,,1,Christianity
aio,Aiton,L,1,1,Y,1,,,,N,Y,,2,Buddhism
nfl,Aiwoo,L,1,5,N,3,,,1999,N,Y,,1,Christianity
ahp,"Aizi, Aproumu",L,1,4,N,1,,,,N,Y,,1,Christianity
ahm,"Aizi, Mobumrin",L,1,4,N,1,,,,N,N,,1,Christianity
ahi,"Aizi, Tiagbamrin",L,1,4,N,1,,,,N,N,,1,Christianity
aja,Aja,N,,,N,0,,,,N,N,,,
ajg,Aja,L,2,5,N,3,,,2010–2014,Y,Y,,4,"Ethnic Religions"
aji,Ajie,L,2,5,N,4,,1922,1903-1972,N,Y,924,1,Christianity
idc,Ajiya,L,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
muc,Ajumbu,L,1,3,N,1,,,,N,N,,1,Christianity
cpc,"Ajyininka Apurucayali",L,1,3,N,4,,2000,2000,N,N,579,1,Christianity
akq,Ak,N,1,4,N,0,,,,N,Y,,4,"Ethnic Religions"
soh,Aka,N,1,1,Y,0,,,,N,N,,6,Islam
aka,Akan,L,21,5,N,5,1871-1964,1863-1981,1859-1957,Y,Y,,1,Christianity
aks,Akaselem,L,1,1,Y,0,,,,N,Y,,6,Islam
knj,Akateko,L,2,4,N,5,2016,1981-2012,1981,Y,Y,623,1,Christianity
ake,Akawaio,L,3,5,N,4,,2010,1873-2008,N,Y,308,1,Christianity
aik,Ake,L,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
keu,Akebu,L,1,4,N,1,,,,Y,Y,,4,"Ethnic Religions"
tsr,Akei,L,1,5,N,3,,,1909-1924,N,Y,,1,Christianity
aeu,Akeu,L,4,1,Y,4,,2015,2006–2012,Y,Y,aeu,4,"Ethnic Religions"
ahk,Akha,L,6,4,N,5,2001,1968-1987,1939-1991,Y,Y,ahk,4,"Ethnic Religions"
akv,Akhvakh,L,1,1,Y,0,,,,N,N,,6,Islam
akl,Aklanon,L,2,5,N,3,,,1990-1996,Y,Y,,1,Christianity
akt,Akolet,L,1,5,N,2,,,,N,Y,,1,Christianity
bss,Akoose,L,1,4,N,4,,2011,1998-2010,Y,Y,336,1,Christianity
miw,Akoye,L,1,5,N,3,,,1994-2000,N,N,,1,Christianity
akf,Akpa,L,1,5,N,1,,,,N,Y,,1,Christianity
ibe,Akpes,L,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
spm,Akukem,L,1,5,N,3,,,2003-2010,N,Y,spm,1,Christianity
ayk,Akuku,L,1,,N,1,,,,N,N,,,
aku,Akum,L,2,4,N,1,,,,N,Y,,1,Christianity
aqz,Akuntsu,N,,,N,0,,,,N,N,,,
ako,Akurio,N,,,N,0,,,,N,N,,,
akw,Akwa,L,1,4,N,2,,,,N,Y,,1,Christianity
syy,"Al-Sayyid Bedouin Sign Language",L,,,N,1,,,,N,N,,,
alw,Alaba-K'abeena,L,2,1,Y,3,,,2009,Y,Y,,6,Islam
akz,Alabama,L,1,4,N,1,,,,N,N,,1,Christianity
ala,Alago,L,1,4,N,3,,,1929,N,Y,,4,"Ethnic Religions"
wbj,Alagwa,L,1,1,Y,3,,,2018,N,Y,,6,Islam
alk,Alak,L,1,1,Y,1,,,,N,Y,,4,"Ethnic Religions"
amp,Alamblak,L,1,5,N,4,,2003-2014,1974-1998,N,N,986,1,Christianity
alj,Alangan,L,1,5,N,4,,1989,1962-1981,N,Y,,1,Christianity
alh,Alawa,N,,,N,0,,,,N,Y,,,
sqk,"Albanian Sign Language",L,2,,N,1,,,,N,N,,6,Islam
aae,"Albanian, Arbereshe",L,2,3,N,3,,,1868-1869,N,N,,1,Christianity
aat,"Albanian, Arvanitika",N,1,3,N,4,,1827,Yes,N,N,,1,Christianity
aln,"Albanian, Gheg",L,21,2,N,5,2011,1869-1990,1866-1978,Y,Y,7,6,Islam
als,"Albanian, Tosk",L,10,2,N,5,1993,1827-2007,1824-1914,Y,Y,292,6,Islam
gwd,Ale,L,1,5,N,3,,,2017,Y,Y,,1,Christianity
gah,Alekano,L,1,5,N,4,,1973-1986,1963-1968,N,Y,954,1,Christianity
ale,Aleut,N,2,4,N,3,,,1840-1903,N,Y,,1,Christianity
mud,"Aleut, Mednyj",N,,,N,0,,,,N,N,,,
asp,"Algerian Sign Language",L,1,,N,1,,,,N,N,,6,Islam
alq,Algonquin,L,1,4,N,4,,1998,1980-1998,N,Y,487,1,Christianity
aiy,Ali,L,1,5,N,1,,,,N,N,,1,Christianity
ald,Alladian,L,1,4,N,4,,2005,1937-1968,N,Y,ald,1,Christianity
all,Allar,L,1,1,Y,0,,,,N,Y,,5,Hinduism
aol,Alor,L,1,4,N,1,,,,N,N,,6,Islam
aqn,"Alta, Northern",L,1,2,N,1,,,,N,N,,4,"Ethnic Religions"
agy,"Alta, Southern",L,1,5,N,3,,,1970,N,Y,,4,"Ethnic Religions"
atv,"Altai, Northern",L,4,1,Y,0,,,,N,N,,4,"Ethnic Religions"
alt,"Altai, Southern",L,4,1,Y,4,,2003,Yes,Y,Y,alt,4,"Ethnic Religions"
aub,Alugu,L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
aab,Alumu-Tesu,L,1,4,N,2,,,,N,Y,,1,Christianity
alp,Alune,L,1,5,N,4,,2012,1991-2012,N,Y,323,1,Christianity
yna,Aluo,L,1,1,Y,0,,,,N,N,,4,"Ethnic Religions"
alz,Alur,L,2,5,N,5,1936-2016,1933-1979,1921-1985,Y,Y,,1,Christianity
alr,Alutor,N,,,N,0,,,,N,N,,,
avd,Alviri-Vidari,L,1,1,Y,0,,,,N,Y,,6,Islam
aly,Alyawarr,L,1,5,N,3,,,1994–2013,N,Y,,1,Christianity
amm,Ama,L,1,5,N,4,,1990-2009,1981-1992,N,Y,991,4,"Ethnic Religions"
nyi,Ama,L,1,1,Y,3,,,1950,N,Y,,6,Islam
amq,Amahai,N,,,N,0,,,,N,N,,,
amc,Amahuaca,L,2,5,N,4,,1992,1963-1997,N,Y,,4,"Ethnic Religions"
ali,Amaimon,L,1,5,N,1,,,,N,N,,1,Christianity
aad,Amal,L,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
wer,Amam,L,1,5,N,4,,1984,1966,Y,Y,1289,1,Christianity
ryn,"Amami-Oshima, Northern",L,1,1,Y,0,,,,N,N,,2,Buddhism
ams,"Amami-Oshima, Southern",L,1,1,Y,0,,,,N,N,,2,Buddhism
amn,Amanab,L,1,5,N,4,,2001,1996-1997,Y,Y,980,1,Christianity
ama,Amanaye,N,,,N,0,,,,N,N,,,
aie,Amara,L,1,5,N,1,,,,N,N,,1,Christianity
amr,Amarakaeri,L,1,2,N,4,,1986-2008,1972-1976,N,Y,511,4,"Ethnic Religions"
aaz,Amarasi,L,1,4,N,4,,2015,2002-2011,N,Y,1320,1,Christianity
rwm,Amba,L,2,5,N,3,,,2004,Y,Y,,1,Christianity
utp,Amba,L,2,5,N,1,,,,N,Y,,1,Christianity
omb,"Ambae, East",L,1,5,N,4,,2014,1971-1986,Y,Y,,1,Christianity
nnd,"Ambae, West",L,1,5,N,4,,1984,1916,N,Y,,1,Christianity
amk,Ambai,L,1,4,N,4,,2010,1991-2003,Y,Y,1176,1,Christianity
aew,Ambakich,L,1,5,N,0,,,,N,N,,1,Christianity
wgo,Ambel,L,1,4,N,0,,,,N,Y,,1,Christianity
amv,Ambelau,L,1,4,N,1,,,,N,N,,6,Islam
ael,Ambele,L,1,4,N,1,,,,N,Y,,1,Christianity
alm,Amblong,L,1,5,N,1,,,,N,N,,1,Christianity
amb,Ambo,L,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
aag,Ambrak,L,1,2,N,1,,,,N,N,,4,"Ethnic Religions"
mmg,"Ambrym, North",L,1,5,N,2,,,,N,Y,,1,Christianity
tvk,"Ambrym, Southeast",L,1,5,N,4,,2015,1949-2011,Y,Y,1254,1,Christianity
apo,Ambul,L,1,5,N,1,,,,N,N,,1,Christianity
abt,Ambulas,L,1,5,N,4,,1974-1996,1974-1992,N,Y,1006,1,Christianity
amj,Amdang,L,2,1,Y,2,,,,N,N,,6,Islam
aey,Amele,L,1,5,N,4,,1997,1952-1989,N,Y,978,1,Christianity
ase,"American Sign Language",L,6,,N,4,,2005,1982-1996,Y,N,,1,Christianity
amh,Amharic,L,27,3,N,5,1840-1988,1829-1988,1824-1988,Y,Y,1260,1,Christianity
amy,Ami,N,,,N,0,,,,N,N,,,
let,Amio-Gelimi,L,1,5,N,1,,,,N,N,,1,Christianity
ami,Amis,L,2,4,N,5,1997,1972-1991,1991,N,Y,,1,Christianity
amo,Amo,L,1,4,N,2,,,,N,Y,,4,"Ethnic Religions"
alx,Amol,L,1,5,N,2,,,,N,Y,,1,Christianity
apg,Ampanang,L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
ajz,"Amri Karbi",L,21,2,N,4,,2010,Yes,Y,N,ajz,5,Hinduism
amt,Amto,L,1,4,N,3,,,1992,N,Y,,4,"Ethnic Religions"
adw,Amundava,L,1,4,N,1,,,,N,N,,4,"Ethnic Religions"
amg,Amurdak,N,,,N,0,,,,N,N,,,
amu,"Amuzgo, Guerrero",L,1,4,N,4,,1973-2001,1953-1998,Y,Y,229,1,Christianity
azm,"Amuzgo, Ipalapa",L,1,5,N,1,,,,N,Y,,1,Christianity
azg,"Amuzgo, San Pedro Amuzgos",L,1,4,N,4,,1992,1978-1980,Y,Y,727,1,Christianity
anw,Anaang,L,1,5,N,3,,,Yes,Y,Y,,1,Christianity
akg,Anakalangu,L,1,4,N,2,,,,N,Y,,1,Christianity
anm,Anal,L,34,3,N,5,2006,1983,1949-1983,N,Y,anm,1,Christianity
pda,Anam,L,1,5,N,1,,,,N,N,,1,Christianity
aan,Anambe,N,,,N,0,,,,N,N,,,
imi,Anamgura,L,1,5,N,1,,,,N,N,,1,Christianity
bpo,Anasi,L,1,4,N,1,,,,N,N,,1,Christianity
acb,Anca,L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
dgl,Andaandi,L,1,1,Y,0,,,,N,N,,6,Islam
afd,Andai,L,1,2,N,1,,,,N,N,,4,"Ethnic Religions"
ajn,Andajin,N,,,N,0,,,,N,N,,,
hca,"Andaman Creole Hindi",L,47,3,N,1,,,,N,Y,,5,Hinduism
ana,Andaqui,N,,,N,0,,,,N,N,,,
aod,Andarum,L,1,5,N,2,,,,N,N,,1,Christianity
adg,Andegerebinha,N,,,N,0,,,,N,N,,,
anr,Andh,L,1,1,Y,1,,,,N,Y,,5,Hinduism
ani,Andi,L,1,1,Y,3,,,2007,N,N,,6,Islam
bzb,Andio,L,1,1,Y,0,,,,N,N,,6,Islam
ano,Andoque,N,1,4,N,3,,,1976,N,Y,,1,Christianity
anx,Andra-Hus,L,1,5,N,1,,,,N,Y,,1,Christianity
aty,Aneityum,L,1,5,N,5,1879,1863,1853-1865,N,Y,,1,Christianity
anz,Anem,L,1,5,N,1,,,,N,N,,1,Christianity
aby,"Aneme Wake",L,1,5,N,4,,1988,Yes,N,N,1011,1,Christianity
myo,Anfillo,N,,,N,0,,,,N,N,,,
agm,Angaataha,L,1,5,N,4,,2004,1976-1980,Y,N,981,1,Christianity
aqt,Angaite,L,1,4,N,1,,,,N,Y,,4,"Ethnic Religions"
age,Angal,L,1,5,N,4,,1978,1990,N,Y,,1,Christianity
aoe,"Angal Enen",L,1,5,N,4,,2001,1968-1996,N,Y,,1,Christianity
akh,"Angal Heneng",L,2,5,N,4,,1978,1967,Y,Y,988,1,Christianity
anp,Angika,L,194,1,Y,3,,,2011,Y,Y,,5,Hinduism
rme,Angloromani,L,5,5,N,3,,,1874–1995,N,N,1421,1,Christianity
aoa,Angolar,L,1,4,N,2,,,,N,N,,1,Christianity
agg,Angor,L,1,5,N,4,,2001,1973-1992,N,Y,1001,1,Christianity
aog,Angoram,L,1,5,N,1,,,,N,Y,,1,Christianity
hnh,Ani,L,1,2,N,1,,,,N,Y,,4,"Ethnic Religions"
blo,Anii,L,2,1,Y,2,,,,N,Y,,6,Islam
anf,Animere,N,1,5,N,0,,,,N,Y,,1,Christianity
aoi,Anindilyakwa,L,1,5,N,5,1992,Yes,1976-1995,N,Y,,1,Christianity
boj,Anjam,L,1,5,N,4,,2000,1987-1989,Y,N,936,1,Christianity
aak,Ankave,L,1,4,N,4,,1991,1986-1992,N,N,985,4,"Ethnic Religions"
amx,Anmatyerre,L,1,5,N,3,,,2007,N,N,,1,Christianity
nun,Anong,N,2,5,N,5,2015,1981,2005-2010,N,Y,,4,"Ethnic Religions"
anj,Anor,L,1,5,N,1,,,,N,Y,,1,Christianity
and,Ansus,L,1,4,N,3,,,Yes,Y,N,,1,Christianity
ant,Antakarinya,N,,,N,0,,,,N,N,,,
aig,"Antigua and Barbuda Creole English",L,8,5,N,3,,,2006,N,N,,1,Christianity
anu,Anuak,L,3,5,N,5,2013,1962-1965,1956-2000,Y,Y,,1,Christianity
cko,Anufo,L,3,1,Y,4,,2006,1993,Y,Y,,4,"Ethnic Religions"
aui,Anuki,L,1,5,N,3,,,2009–2015,N,Y,1413,1,Christianity
auq,Anus,L,1,1,Y,0,,,,N,Y,,4,"Ethnic Religions"
aud,Anuta,N,1,5,N,0,,,,N,N,,1,Christianity
any,Anyin,L,3,5,N,4,,1997,1927-1993,Y,Y,any,1,Christianity
mtb,"Anyin Morofo",L,1,4,N,1,,,,N,Y,,1,Christianity
pni,Aoheng,L,1,1,Y,1,,,,N,N,,4,"Ethnic Religions"
kbx,"Ap Ma",L,1,5,N,3,,,1990-2011,N,Y,,1,Christianity
apj,"Apache, Jicarilla",L,1,4,N,3,,,1965,N,Y,,1,Christianity
apk,"Apache, Kiowa",N,,,N,0,,,,N,N,,,
apl,"Apache, Lipan",N,,,N,0,,,,N,N,,,
apm,"Apache, Mescalero-Chiricahua",N,1,4,N,0,,,,N,Y,,1,Christianity
apw,"Apache, Western",L,1,4,N,4,,1966-2012,1958,N,Y,573,1,Christianity
ena,Apal,L,1,5,N,3,,,1992-2005,N,Y,,1,Christianity
apy,Apalai,L,1,5,N,5,2017,1986,1972-1975,N,Y,865,1,Christianity
apt,Apatani,L,1,3,N,4,,2004,Yes,N,Y,apt,9,Unknown
api,Apiaka,N,,,N,0,,,,N,N,,,
apn,Apinaye,L,1,5,N,4,,1999-2010,1967-1989,Y,Y,514,1,Christianity
app,Apma,L,1,5,N,4,,1912-1967,1977,N,Y,,1,Christianity
apu,Apurina,L,1,5,N,4,,2004,1993,Y,Y,864,4,"Ethnic Religions"
apx,Aputai,N,,,N,0,,,,N,N,,,
ard,Arabana,N,,,N,0,,,,N,N,,,
arl,Arabela,N,1,3,N,4,,1986-2008,1965-2002,N,Y,519,1,Christianity
aao,"Arabic, Algerian Saharan Spoken",L,7,1,Y,3,,,Yes,Y,Y,,6,Islam
arq,"Arabic, Algerian Spoken",L,29,1,Y,4,,1965,1872-1964,Y,Y,,6,Islam
bbz,"Arabic, Babalia Creole",N,,,N,0,,,,N,N,,,
abv,"Arabic, Baharna Spoken",L,2,1,Y,1,,,,N,N,,6,Islam
shu,"Arabic, Chadian Spoken",L,11,1,Y,4,,2012,1964,Y,Y,502,6,Islam
acy,"Arabic, Cypriot Spoken",L,1,3,N,0,,,,N,N,,1,Christianity
adf,"Arabic, Dhofari Spoken",L,1,1,Y,1,,,,N,N,,6,Islam
avl,"Arabic, Eastern Egyptian Bedawi Spoken",L,7,1,Y,3,,,2004,N,Y,,6,Islam
arz,"Arabic, Egyptian Spoken",L,38,4,N,4,,1932–2012,1905-2007,Y,Y,,6,Islam
afb,"Arabic, Gulf Spoken",L,18,1,Y,3,,,Yes,Y,Y,,6,Islam
ayh,"Arabic, Hadrami Spoken",L,3,1,Y,0,,,,N,N,,6,Islam
acw,"Arabic, Hijazi Spoken",L,5,1,Y,0,,,,N,Y,,6,Islam
yhd,"Arabic, Judeo-Iraqi",L,2,1,Y,0,,,,N,Y,,4,"Ethnic Religions"
aju,"Arabic, Judeo-Moroccan",L,2,1,Y,0,,,,N,N,,4,"Ethnic Religions"
yud,"Arabic, Judeo-Tripolitanian",L,1,1,Y,0,,,,N,N,,4,"Ethnic Religions"
ajt,"Arabic, Judeo-Tunisian",L,2,1,Y,4,,1847,1897-1937,N,N,,4,"Ethnic Religions"
jye,"Arabic, Judeo-Yemeni",L,1,1,Y,0,,,,N,N,,4,"Ethnic Religions"
ayl,"Arabic, Libyan Spoken",L,22,1,Y,3,,,Yes,Y,N,,6,Islam
acm,"Arabic, Mesopotamian Spoken",L,30,1,Y,4,,Yes,Yes,Y,Y,,6,Islam
ary,"Arabic, Moroccan Spoken",L,28,1,Y,4,,1932-2012,1902-1952,Y,Y,558,6,Islam
ars,"Arabic, Najdi Spoken",L,12,1,Y,3,,,2013,N,N,,6,Islam
apc,"Arabic, North Levantine Spoken",L,120,2,N,3,,,1973,N,Y,,6,Islam
ayp,"Arabic, North Mesopotamian Spoken",L,5,1,Y,4,,Yes,Yes,Y,Y,,6,Islam
acx,"Arabic, Omani Spoken",L,12,1,Y,1,,,,N,N,,6,Islam
aec,"Arabic, Saidi Spoken",L,2,4,N,3,,,1997,Y,Y,,6,Islam
ayn,"Arabic, Sanaani Spoken",L,3,1,Y,1,,,,N,Y,,6,Islam
ssh,"Arabic, Shihhi Spoken",L,2,1,Y,1,,,,N,N,,6,Islam
ajp,"Arabic, South Levantine Spoken",L,40,1,Y,3,,,1940-1973,Y,Y,,6,Islam
arb,"Arabic, Standard",L,,,N,5,1984-2006,1980-1982,1984,Y,Y,67,,
pga,"Arabic, Sudanese Creole",L,4,1,Y,3,,,1983-1985,N,Y,,6,Islam
apd,"Arabic, Sudanese Spoken",L,80,1,Y,4,,1978,1927-1964,Y,Y,,6,Islam
acq,"Arabic, Taizzi-Adeni Spoken",L,19,1,Y,3,,,Yes,Y,Y,,6,Islam
abh,"Arabic, Tajiki Spoken",L,2,1,Y,1,,,,N,Y,,6,Islam
aeb,"Arabic, Tunisian Spoken",L,14,1,Y,4,,2011,1903–2014,Y,Y,1304,6,Islam
auz,"Arabic, Uzbeki Spoken",N,6,1,Y,0,,,,N,N,,6,Islam
arg,Aragonese,L,1,3,N,4,,2013,2008,N,Y,,1,Christianity
akr,Araki,N,,,N,0,,,,N,Y,,,
atq,Aralle-Tabulahan,L,2,2,N,4,,2004,1999-2000,N,Y,,6,Islam
stk,Arammba,L,1,4,N,3,,,2002-2003,Y,Y,,4,"Ethnic Religions"
aaf,Aranadan,L,1,1,Y,1,,,,N,Y,,5,Hinduism
jbj,Arandai,L,1,4,N,1,,,,N,Y,,1,Christianity
aro,Araona,L,1,5,N,3,,,1974-1984,N,Y,,1,Christianity
arp,Arapaho,N,,,N,3,,,1903,N,Y,1369,,
arj,Arapaso,N,,,N,0,,,,N,N,,,
aah,"Arapesh, Abu'",L,1,3,N,4,,Yes,Yes,N,N,,1,Christianity
aon,"Arapesh, Bumbita",L,1,5,N,4,,2003,2007,N,Y,,1,Christianity
axg,"Arara, Mato Grosso",N,1,1,Y,0,,,,N,N,,4,"Ethnic Religions"
aap,"Arara, Para",L,1,2,N,2,,,,N,N,,4,"Ethnic Religions"
arw,Arawak,N,5,4,N,3,,,1850-1978,N,Y,,1,Christianity
awt,Arawete,L,1,3,N,1,,,,N,N,,1,Christianity
awm,Arawum,L,1,5,N,1,,,,N,N,,1,Christianity
arv,Arbore,L,1,1,Y,2,,,,N,Y,,4,"Ethnic Religions"
aqc,Archi,L,1,1,Y,0,,,,N,N,,6,Islam
